codigo,clase,propiedad,superficie,instalado,numero_suc,elemento,localidad,provincia,coca,ipid,central,miga,estado,cedido_por,tipo,long x,latit y,id,valor,f_valor,icon_url
MABEN007,A120,gtd,ocupacion,2002/09/12,N/A,arqueta,Benalmadena,Malaga,,,,,1,,,,,"1",,,./0.png
MABEN008,A120,gtd,ocupacion,2002/09/12,N/A,arqueta,Benalmadena,Malaga,,,,,1,,,,,"2",,,./0.png
MABEN009,A120,gtd,ocupacion,2002/09/12,N/A,arqueta,Benalmadena,Malaga,,,,,1,,,,,"3",,,./0.png
MABEN010,A120,gtd,ocupacion,2002/09/12,N/A,arqueta,Benalmadena,Malaga,,,,,1,,,,,"4",,,./0.png
CR18,ABP,tesa,ocupacion,2013/07/01,627SUCW99452012101600,arqueta,Valencina de la Concepción,Sevilla,,,,,3,,,,,"1941","3",2021/01/01,./0.png
CR 674,GEN,tesa,,,627SUCW99862019080700,arqueta,Getxo,Vizcaya,,"2639369",,,0,,,,,"70",,,./0.png
EMASESA_09,,,,,,,,Barcelona,,,,,4,,,,,"72","1",2021/01/01,./0.png
CR1,GEN,tesa,ocupacion,,,arqueta,Benalmadena,Malaga,,,,,4,,,,,"73",,,./0.png
CR0,GEN A,tesa,ocupacion,,,arqueta,Benalmadena,Malaga,,,,,4,,,,,"74",,,./0.png
EMASESA_8,,,,,,,,,,,,,4,,,,,"93","1",2021/01/01,./0.png
CR72,gABP,tesa,ocupacion,,,arqueta,Benalmadena,Malaga,,,,,4,,,,,"94",,,./0.png
CR156,GEN,tesa,ocupacion,,,arqueta,Benalmadena,Malaga,,,,,4,,,,,"117",,,./0.png
"5541923",H,tesa,ocupacion,2014/03/20,627SUCW98512014040900,arqueta,Castilleja de la Cuesta,Sevilla,,,,,3,,,,,"1923","3",2021/01/01,./0.png
"5541925",D,tesa,ocupacion,2014/03/20,627SUCW98512014040900,arqueta,Castilleja de la Cuesta,Sevilla,,,,,3,,,,,"1924","3",2021/01/01,./0.png
"5541924",H,tesa,ocupacion,2014/03/20,627SUCW98512014040900,arqueta,Castilleja de la Cuesta,Sevilla,,,,,3,,,,,"1925","3",2021/01/01,./0.png
CR94,BR,tesa,ocupacion,2013/07/01,627SUCW69682013061000,arqueta,Castilleja de Guzmán,Sevilla,,,,,3,,,,,"1934","3",2021/01/01,./0.png
CR19,ABP,tesa,ocupacion,2013/07/01,627SUCW99452012101600,arqueta,Valencina de la Concepción,Sevilla,,,,,3,,,,,"1942","3",2021/01/01,./0.png
CR20,ABP,tesa,ocupacion,2013/07/01,627SUCW99452012101600,arqueta,Valencina de la Concepción,Sevilla,,,,,3,,,,,"1943","3",2021/01/01,./0.png
CR96,BR,tesa,ocupacion,2013/07/01,627SUCW69682013061000,arqueta,Castilleja de Guzmán,Sevilla,,,,,3,,,,,"1979","3",2021/01/01,./0.png
CR21,ABP,tesa,ocupacion,2013/07/01,627SUCW99452012101600,arqueta,Valencina de la Concepción,Sevilla,,,,,3,,,,,"2005","3",2021/01/01,./0.png
